n,team,state,team_full,season,Wins,Losses,win_lose_ratio,Net Wins,ORtg,DRtg,netrtg,Rel ORtg,Rel DRtg,location,team_type,team_logo
109,NOH,louisiana,New Orleans Pelicans,2018,48,34,1.41,14,109.6,108.3,1.3,1,-0.3,W,S,logos/New Orleans Pelicans.jpg
139,NOH,louisiana,New Orleans Pelicans,2017,34,48,0.71,-14,105.2,107.4,-2.2,-3.6,-1.4,W,D,logos/New Orleans Pelicans.jpg
169,NOH,louisiana,New Orleans Pelicans,2016,30,52,0.58,-22,105.6,109.5,-3.9,-0.8,3.1,W,D,logos/New Orleans Pelicans.jpg
199,NOH,louisiana,New Orleans Pelicans,2015,45,37,1.22,8,108.2,107.3,0.9,2.6,1.7,W,S,logos/New Orleans Pelicans.jpg
229,NOH,louisiana,New Orleans Pelicans,2014,34,48,0.71,-14,107.2,110.1,-2.9,0.5,3.4,W,D,logos/New Orleans Pelicans.jpg
259,NOH,louisiana,New Orleans Pelicans,2013,27,55,0.49,-28,105.7,110.1,-4.4,-0.2,4.2,W,D,logos/New Orleans Pelicans.jpg
289,NOH,louisiana,New Orleans Pelicans,2012,21,45,0.47,-24,100.9,105.1,-4.2,-3.7,0.5,W,S,logos/New Orleans Pelicans.jpg
319,NOH,louisiana,New Orleans Pelicans,2011,46,36,1.28,10,106.2,105.2,1,-1.4,-2.1,W,S,logos/New Orleans Pelicans.jpg
18,MIN,minnesota,Minnesota Timberwolves,2021,23,49,0.47,-26,109.5,115,-5.5,-2.8,2.7,W,D,logos/Minnesota Timberwolves.jpg
48,MIN,minnesota,Minnesota Timberwolves,2020,19,45,0.42,-26,108.1,112.2,-4.1,-2.5,1.6,W,D,logos/Minnesota Timberwolves.jpg
78,MIN,minnesota,Minnesota Timberwolves,2019,36,46,0.78,-10,111.4,112.9,-1.5,1,2.5,W,D,logos/Minnesota Timberwolves.jpg
108,MIN,minnesota,Minnesota Timberwolves,2018,47,35,1.34,12,113.4,111.1,2.3,4.8,2.5,W,O,logos/Minnesota Timberwolves.jpg
138,MIN,minnesota,Minnesota Timberwolves,2017,31,51,0.61,-20,110.8,112,-1.2,2,3.2,W,D,logos/Minnesota Timberwolves.jpg
168,MIN,minnesota,Minnesota Timberwolves,2016,29,53,0.55,-24,106.5,110.1,-3.6,0.1,3.7,W,D,logos/Minnesota Timberwolves.jpg
198,MIN,minnesota,Minnesota Timberwolves,2015,16,66,0.24,-50,102.9,112.2,-9.3,-2.7,6.6,W,D,logos/Minnesota Timberwolves.jpg
228,MIN,minnesota,Minnesota Timberwolves,2014,40,42,0.95,-2,108.9,106.2,2.7,2.2,-0.5,W,S,logos/Minnesota Timberwolves.jpg
258,MIN,minnesota,Minnesota Timberwolves,2013,31,51,0.61,-20,102.9,105.4,-2.5,-3,-0.5,W,S,logos/Minnesota Timberwolves.jpg
288,MIN,minnesota,Minnesota Timberwolves,2012,22,44,0.5,-22,104.3,106.6,-2.3,-0.3,2,W,O,logos/Minnesota Timberwolves.jpg
318,MIN,minnesota,Minnesota Timberwolves,2011,24,58,0.41,-34,104.2,111.1,-6.9,-3.4,3.8,W,D,logos/Minnesota Timberwolves.jpg
17,MIL,wisconsin,Milwaukee Bucks,2021,46,26,1.77,20,117.2,111.4,5.8,4.9,-0.9,E,O,logos/Milwaukee Bucks.jpg
47,MIL,wisconsin,Milwaukee Bucks,2020,56,17,3.29,39,112.4,102.9,9.5,1.8,-7.7,E,O,logos/Milwaukee Bucks.jpg
77,MIL,wisconsin,Milwaukee Bucks,2019,60,22,2.73,38,113.8,105.2,8.6,3.4,-5.2,E,O,logos/Milwaukee Bucks.jpg
107,MIL,wisconsin,Milwaukee Bucks,2018,44,38,1.16,6,109.8,110.1,-0.3,1.2,1.5,E,S,logos/Milwaukee Bucks.jpg
137,MIL,wisconsin,Milwaukee Bucks,2017,42,40,1.05,2,109.1,109.3,-0.2,0.3,0.5,E,S,logos/Milwaukee Bucks.jpg
167,MIL,wisconsin,Milwaukee Bucks,2016,33,49,0.67,-16,104.3,108.7,-4.4,-2.1,2.3,E,D,logos/Milwaukee Bucks.jpg
197,MIL,wisconsin,Milwaukee Bucks,2015,41,41,1,0,102.7,102.2,0.5,-2.9,-3.4,E,S,logos/Milwaukee Bucks.jpg
227,MIL,wisconsin,Milwaukee Bucks,2014,15,67,0.22,-52,103,111.8,-8.8,-3.7,5.1,E,D,logos/Milwaukee Bucks.jpg
257,MIL,wisconsin,Milwaukee Bucks,2013,38,44,0.86,-6,103.6,105.2,-1.6,-2.3,-0.7,E,S,logos/Milwaukee Bucks.jpg
287,MIL,wisconsin,Milwaukee Bucks,2012,26,40,0.65,-14,105.5,105.2,0.3,0.9,0.6,E,S,logos/Milwaukee Bucks.jpg
317,MIL,wisconsin,Milwaukee Bucks,2011,17,65,0.26,-48,101.6,102.5,-0.9,-6,-4.8,E,S,logos/Milwaukee Bucks.jpg
16,MIA,florida,Miami Heat,2021,40,32,1.25,8,111.2,111.2,0,-1.1,-1.1,E,S,logos/Miami Heat.jpg
46,MIA,florida,Miami Heat,2020,44,29,1.52,15,112.5,109.5,3,1.9,-1.1,E,O,logos/Miami Heat.jpg
76,MIA,florida,Miami Heat,2019,39,43,0.91,-4,107.3,107.6,-0.3,-3.1,-2.8,E,S,logos/Miami Heat.jpg
106,MIA,florida,Miami Heat,2018,44,38,1.16,6,106.8,106.3,0.5,-1.8,-2.3,E,S,logos/Miami Heat.jpg
136,MIA,florida,Miami Heat,2017,41,41,1,0,107.8,106.7,1.1,-1,-2.1,E,O,logos/Miami Heat.jpg
166,MIA,florida,Miami Heat,2016,48,34,1.41,14,106.1,104.4,1.7,-0.3,-2,E,S,logos/Miami Heat.jpg
